4,- Tervetuloa skotlantiin...
4,"...... No, oikein sopiva sattumaha se vaan oli, vai mitä?"
3,40
5,Kyseessä voi olla loppuelämäsi nainen.
5,Sinne vaan ocean clubiin iskemään!
5,Itsekin pidän Keskustan kampanjointia ihan hyvänä.
3,"Kamppi, Kontula, Kluuvi"
2,huomista päivää odotellen..
1,en haluaisi että kissani vuotaa.. =)
1,Nyt olisi lääkitys paikallaan.
3,Ihmiset joutuvat joskus monenlaisien päätelmien kohteeksi.
1,"Eniten pelkään sitä, että jos mies vain koko ajan siirtää perheenperustamista vuosilla eteenpäin, kunnes emme enää saakkaan lapsia..tiedä häntä."
5,"Muutenkin suosittelen kaikille asiasta kiinnostuneille tuota Mark ""Gravy"" Robertsin mainiota paperia."
3,Koska naiset yleensä arvostavat miehessä eniten itsevarmuutta ja ujo mies saattaa helposti antaa itsestään epävarman vaikutelman vaikka ei sitä olisikaan.
2,Teillähän asenne on kohdallaan!
4,"Ja kun vielä nuukan puoleinenkin on, mikäs sen lepposampaa elää hänen vierellään"
3,"Jos taas mielestäsi maailmassa on jokin pielessä ja haluat muutosta, osoita tukesi niin liity mukaan muuttamaan maailmaa."
1,Tuntuu kuin olisin pelkkä huora.
3,Miten on Turun-lentojen laits?
5,"Tottakai myös ylpeä ""tulevasta"" vaimostani."
2,"en kertonut, koska oisit vaan suuttunut."
3,"Tämähän ei maksa kaupungille mitään, mutta operaatio säilyttäisi kasarmin."
1,Missä kohtaa olen sinua nimitellyt?
5,Suuret kiitokset tämän mahtavan tapahtuman järjestäjille!
3,on vapaaehtoista käyttääkö uikkareita vai ei
3,Tuolloin 6-10 suden *lauma* liikuskeli Oriveden lähikunnissa.
3,Tai voit vaikka katella leffoja makuuni.fi sivuilta jos vaikka löytyis joku hyvä leffa minkä vois vuokrata / hankkia.
3,Missä sitä kouluttautuis ja mitä sitä tekisi.
4,"Kuka ""korkkaisi"" minut?"
5,Mulla on lapsi jota rakastan enemmän kuin mitään muuta.
2,Onko joku tehnyt tälläisen tempun?
1,"Sateenkaariväki kuvittelee, että kaksi ""isää"" ei voi korvata äitiä, eikä kaksi ""äitiä"" voi korvata isää."
2,"Ja toisena on se vaativampi, pitää ymmärtää luettu."
